date,post_count,post_1_type,post_1_time,post_1_bg_keywords,post_1_bg_file_id,post_2_type,post_2_time,post_2_bg_keywords,post_2_bg_file_id,post_3_type,post_3_time,post_3_bg_keywords,post_3_bg_file_id
2026-08-01,1,quick_psychological_fact,16:00,dark blue moody gradient abstract soft blur background,,,,,,,,,
2026-08-02,1,quick_psychological_fact,17:00,warm golden light dark texture minimal aesthetic,,,,,,,,,
2026-08-03,1,quick_psychological_fact,15:30,deep purple violet glow abstract wave pattern,,,,,,,,,
2026-08-04,1,quick_psychological_fact,16:30,minimalist charcoal grey aesthetic soft shadow background,,,,,,,,,
2026-08-05,2,quick_psychological_fact,15:00,cinematic dark teal and orange light streak blur,,quick_psychological_fact,19:30,abstract black silver gradient luxury texture,,,,,
2026-08-06,1,quick_psychological_fact,17:00,emerald green glow dark radial gradient background,,,,,,,,,
2026-08-07,2,quick_psychological_fact,16:00,abstract deep blue midnight smoke wave background,,quick_psychological_fact,20:00,soft red crimson glow dark ambient light,,,,,
2026-08-08,1,quick_psychological_fact,16:30,abstract navy blue geometric shadow minimalist,,,,,,,,,
2026-08-09,1,quick_psychological_fact,17:30,dark amber gold bokeh lights background blur,,,,,,,,,
2026-08-10,1,quick_psychological_fact,15:30,monochrome dark slate grey paper texture abstract,,,,,,,,,
2026-08-11,1,quick_psychological_fact,16:00,dark indigo cyan neon glow gradient abstract,,,,,,,,,
2026-08-12,2,quick_psychological_fact,15:00,deep magenta violet dark gradient abstract aura,,quick_psychological_fact,19:00,dark matte black concrete wall texture background,,,,,
2026-08-13,1,quick_psychological_fact,17:00,warm bronze metallic surface dark soft lighting,,,,,,,,,
2026-08-14,2,quick_psychological_fact,16:00,abstract blue oceanic deep dark blur background,,quick_psychological_fact,20:00,dark purple lighting minimal aesthetic background,,,,,
2026-08-15,1,quick_psychological_fact,16:30,minimal dark olive green gradient soft texture,,,,,,,,,
2026-08-16,1,quick_psychological_fact,17:30,abstract dark blue violet wave lines minimal,,,,,,,,,
2026-08-17,1,quick_psychological_fact,15:30,dark copper warm glow abstract background blur,,,,,,,,,
2026-08-18,1,quick_psychological_fact,16:00,charcoal black dark mesh texture abstract,,,,,,,,,
2026-08-19,2,quick_psychological_fact,15:00,cinematic dark teal glow background minimal,,quick_psychological_fact,19:30,soft orange dusk light dark gradient blur,,,,,
2026-08-20,1,quick_psychological_fact,17:00,deep royal blue silk texture abstract lighting,,,,,,,,,
2026-08-21,2,quick_psychological_fact,16:00,dark plum violet bokeh glow background,,quick_psychological_fact,20:00,abstract golden dust dark background blur,,,,,
2026-08-22,1,quick_psychological_fact,16:30,minimalist dark slate blue paper texture gradient,,,,,,,,,
2026-08-23,1,quick_psychological_fact,17:30,dark green forest shadow light abstract background,,,,,,,,,
2026-08-24,1,quick_psychological_fact,15:30,abstract crimson red dark ambient glow,,,,,,,,,
2026-08-25,1,quick_psychological_fact,16:00,dark cyan blue geometric shadow gradient minimal,,,,,,,,,
2026-08-26,2,quick_psychological_fact,15:00,warm golden light beam dark background blur,,quick_psychological_fact,19:00,deep purple dark aesthetic wave light,,,,,
2026-08-27,1,quick_psychological_fact,17:00,dark obsidian black smooth texture background,,,,,,,,,
2026-08-28,2,quick_psychological_fact,16:00,cinematic dark navy soft blur lighting background,,quick_psychological_fact,20:00,abstract dark amber warm smoke background,,,,,
2026-08-29,1,quick_psychological_fact,16:30,minimal dark emerald green lighting shadow background,,,,,,,,,
2026-08-30,1,quick_psychological_fact,17:00,deep violet purple dark gradient abstract pattern,,,,,,,,,
